note; resume; opinions
8.0;Excellent !; Pas de groupe en cas de coupure d'électricité.| Nous avons tout aimé : l'accueil, la décoration de l'appartement, les hôtes (toujours à l'écoute et disponible à tout moment), le petit déjeuner, la sécurité Sinon dans l'ensemble, mon fiancé et moi avons passé un agréable séjour.|
10; Exceptionnel ; La propreté est nickel, et nous avons aimé le calme loin des bruits de voitures.|

8.0;Séjour convivial pour une famille; J'ai aimé la disponibilité de la propriétaire, l'ambiance dans le quartier pour et la proximité avec les services dans le quartier d'Akwa.|
9.0; Fabuleux  ;  c'était excellent très bien décorée|  le décor et l'art qui se trouvait sur place|
10;Excellent séjour, je reviendrai ; J'ai tout aimé... la propreté de l'appartement, extrême amabilité du personnel et surtout d'Edith la propriétaire. Tous les appareils ont fonctionné correctement. |
9.0;Excellent séjour. Très bon rapport qualité/prix. Je recommande vivement !!; L'étroitesse du parking extérieur. Il existe toutefois des solutions de partenariat avec un parking sécurisé pas loin.| L'appartement, l'accueil et la disponibilité de la patronne, le professionnalisme du personnel, le petit déjeuner|
9.0;Très beau séjour dans l'ensemble. Je reviendrais ; Juste le côté un peu bruyant de la zone. Mais il fallait s'y attendre. On est tout de même au centre ville, et à Douala qui plus est. | La convivialité de l'hôtesse et de tout le staff, la qualité des fournitures et du mobilier, la propreté et le confort de l'appartement qui était exactement tel qu'annoncé sur Booking. La sécurité de mon véhicule a bien été assurée.  Merci à Edith et à toute l'équipe.  Nous reviendrons certainement. |
10; Exceptionnel ; Je commande Vivement ,personnel disponible  Service , irréprochable.|
8.0;Séjour agréable et belle expérience en famille dans un quartier populaire très animé de Douala; RAS| L’accueil et la disponibilité de tous. Le service était impeccable et les lieux fidèles aux photos. Air conditionné, équipements nécessaires  et propreté irréprochable.|
10;Un super accueil ; L accueil chaleureux de l'équipe  La réactivité et la disponibilité de l équipe  Immeuble de standing dans un quartier populaire très animé |
9.0;Residence avec du charme, tres bon accueille, top si vous aimes pas les grandes chaines comme moi; Residence avec du charme, si vous aimez l’art africaine contemporaine ou ancienne this is the place to be! Gerant et proprio tres tres accueillants, nous ont aidé enormement avec adresses contactes taxis conseils etc.|
7.9;Accueil et personnel sympa. Note spéciale à Aristide. Très attentif et disponible; Le quartier dénote par rapport établissement| Pas de croissant|
7.9;Bref mais fun; Le bruit des bars alentours la nuit| Le salon spacieux et les toilettes propres et les draps aussi|
9.6; Fabuleux  ; Beau, propre et inspirant.|
10;Accueil chaleureux - on se sent comme chez soi; l'hébergement est central mais la contrepartie ce sont les nuisances sonores la nuit| Le petit déjeuner était très bien organisé et le personnel compétent et agréable.  Très bon contact avec les responsables de cet hébergement qui ont le souci du service|
10;PARFAIT EN TOUT POINT; RIEN| TOUT|
9.2;Séjour reposant, quartier populaire, empreint d'originalité; Il y avait des travaux en cours. Mais ceux ci finiront bientôt si c'est pas déjà le cas| La résidence est placée dans un quartier original de Douala|
8.8;Un lieu idéal pour un séjour court ou professionnel à Douala; L’accueil, la propreté, et la taille de l’appartement|
10;bien , bien , bien............; halte incontournable lors des venues a douala tout est la.......acceuil , propreté , gentilesse et disponibilité du personnel  ne cherchez pas ailleur pour votre sejour.....|
10; Exceptionnel ; accueil et confort toujours de qualité|
9.6; Fabuleux  ; Rien !  | Accueil très chaleureux de Madame Mbella, la propriétaire des lieux . Les appartements sont calmes, confortables et décorés avec bcp de goût . Bcp de statues et d’œuvres d’art dans la résidence! Un régal ! Personnel adorable! On se sent à la maison 😊|
9.6; Fabuleux  ; L’appartement lui même, très cosy et décoré d’œuvres d’art. Le proximité avec la boulangerie super marché AKWA, l’équipement de la cuisine, le confort des lits, la climatisation, la propriétaire, une dame passionnée d’art et passionnante |
10; Exceptionnel ; Il ne faut pas venir à Douala sans aller à Bolo résidence: extraordinaire par la beauté des objets d'art exposés,les petites attentions ,l'accueil de tout le personnel et la décoration florale régulièrement renouvelée.On se croirait  en forêt tropicale tant les plantes et surtout les fleurs coupées sont belles,dans les lieux publics mais aussi les chambres.Je suis arrivé par hasard et je reviendrai par choix,je vous recommande vivement d'essayer. Quant à la propriétaire,c'est une personne très cultivée,très ouverte et qui possède des qualités humaines exceptionnelles.Allez-y sans hésitation,un endroit rare au Cameroun. |
8.3;UN EXCELLENT SEJOUR ! Je confirme les précédents commentaires concernant cette Résidence.; Un point totalement indépendant de la Résidence : la musique et chants nocturnes dans les rues essentiellement sur les W.E.| Le professionnalisme de l'Hôtel et la fiabilité du personnel. Mme Edith Mbella est régulièrement soucieuse du bien être de ses clients et grandes disponibilités de M Emmanuel TCHOUNGA (son adjoint) pour renseigner sur : sites géographiques, appels de taxis climatisés, bons restaurants avec leurs spécialités, commente agréablenent la galerie d'art qui se trouve au R.C., il est  joignable également facilement par téléphone ce qui est un avantage certain dès lors qu'on est en extérieur de la Résidence. La literie est excellente et la propreté de l'appartement est de rigueur ! La femme de ménage effectue un nettoyage à fond journellement avec beaucoup d'attention. Pont d'importance, M Emmanuel TCHOUNGA est venu m'accueillir à mon arrivée à l'aéroport de Douala et m'y a remmener le jour de mon départ et cela gracieusement !|
10;Sejour tres agreable; Tres bonne accueil chaleureuses l 'appartement tres bien aménagé  et propre très  Bien situé dans un quartier animé  le week-end, le personnel tres gentille lieux  tres sécurisé gardiens  toujour disponible et souriant je suis satisfait  de mon séjour  avec ma famille  merci a la patronne  des lieux  pour son accueil  et ca disponibilité|
8.3; Très bien ; Le bruit la nuit et la rue d’accès non entrentenue| L’espace du logement et le personnel toujours prêt à rendre service|

9.0;Bel accueil; La vue| La gentillesse du personnel|
8.0; Très bien ; Chambre confortable  Quartier calme  Personnel attentionné |
8.0;ok , très bon séjour; Le salon de réception et d'attente, un peu réduit,| Petit déjeuner tout à fait correct, globalement bonnes prestations|
9.0; Fabuleux  ; Rien| Le petit-déjeuner et le personnel |
9.0;ALL OK. je reviendrais volontier; la moquette au couloir semble garder bcp de salete. bref une odeur un peu bizard au couloir| Le petit dejeuner est parfait. Rien à dire  La chambres etait propre|
7.0; Bien  ; Le restaurant n'avait rien de ce que j'ai demandé et qui pourtant était sur la carte, ni pour le diner ni pour le petit déjeuner.|
8.0;Enfin un établissement de qualité ; Rien | L ensemble |
9.0;Exceptionnel! Définitivement le meilleur hôtel de Douala!; Tout était à la hauteur de mes attentes 👌🏾| Tout: L’emplacement, la propreté, le service, tout le personnel est d’une très grande gentillesse. C’est sans conteste l’hôtel le plus propre et confortable de la ville. Bravo à toute l’équipe, surtout le housekeeping. Un grand merci à Jules pour son sens du service. 🙏🏾|
8.0;Séjour plus que agréable. Remerciements et encouragements au personnel.; Le bruit des climatiseurs dans les chambres.| L’accueil, la qualité des équipements, le confort du lit et des draps. Les tenues du personnel de salle sont originales, le buffet est fourni et varié|
8.0; Très bien ; Le Guest Relation Manager s'est montré très professionnel pour gérer l'incompréhension qui est naît de l'inadéquation entre la communication du site booking et les offres de l hôtel  à cette période.|
9.0;Apaisant et très satisfaisant; Tout était très bien pour moi.| Diversifié et très bon. Le personnel était vraiment très accueillant, à l’écoute et très chaleureux. La propreté de l’hôtel rien à dire et les équipements (salle de sport et piscine) m’ont ravi|
8.0;Magnifique ; La présence des prostituées à l'extérieur qui surdoient les gardiens pour avoir accès à l'hôtel et être informé sur la présence de certains clients. | Accueille et politesse du personnel, propreté....j'ai adoré mon séjour à ce paradis reposant |
9.0; Fabuleux  ; L'établissement a moins d'un an, mais il y a déjà des dégâts des eaux dans certaines chambres. Nous avons dû demander deux fois à changer de chambre. Heureusement, nos demandes ont toujours été traitées avec la plus grande attention. Aussi, la piscine est vraiment petite, et très peu profonde. Pour l'amateur de natation que je suis, c'est une déception. | Le personnel est très attentionné à La Falaise Bonapriso. On sent que des efforts sont faits pour rendre un service parfait aux clients. Que ce soient les vigiles à l'extérieur, les stewards, les employés du restaurant. Tout le monde a le sens du service. C'est une qualité tellement peu commune au Cameroun qu'elle vaut le coup d'être soulignée ici.|
9.2;Excellent séjour à la falaise Bonapriso; Le bar avec la piscine à proximité, la qualité de la salle d'eau|
7.5; Bien  ; Baignoire,pas de douche,uniquement des baignoires dans toutes les chambres de l’établissement.En cas d’un handicape,il est difficile d’avoir accès. |
7.9; Bien  ; La disponibilité et le professionnalisme du personnel | Outre ce qui précède, l'accueil aussi bien à l'aéroport qu'à la réception de l'hôtel sont des atouts non négligeables.|
8.0;Corrrecte; Le rapport qualité prix. 200 euros est très supérieure à la prestation| Le confort... le petit  déjeuner ....|
9.2;Bien et agréable; Ras| Le lit et les serviettes|
8.8;Excellent séjour dans un bel établissement avec un personnel très professionnel; Petits détails de finition dans la salle de bain| Bel établissement à 10 min de l'aéroport. J'ai particulièrement apprécié le petit déjeuner à emporter proposé par le personnel en raison de mon départ matinal (5h du matin)|
7.5;En gros le personnel sympa, et le lieu bien sécurisé; J’ai surtout pas apprécié le Guest manager qui m’as dit que j’avais pas le droit de recevoir plus de 2 personnes dans l’hôtel sans savoir le but de mon voyage, j’ai trouvé ça très gonflé,| J’ai aimé  l’accueille du personnel et la sécurité bien organisée|
9.6;Parfait; Le professionnalisme des équipes |
8.8;Agréable; J'ai trouvé étrange, l'absence d'un saloon comme dans la plupart des hôtels de ce genre. Il y a bien un bar mais la disposition de ce dernier parraport au restaurant ne donne pas une impression d'intimité au client de se sentir comme chez soi.| J'ai aimé la nourriture, la disponibilité, l'acceuil chaleureux, et le professionnalisme du personnel.|
8.8; Très bien ; Instabilité des chaînes télés. En cas de coupure du courant, il faut un reprise automatique de l'alimentation électrique | L'accueil est excellent. Le petit-déjeuner aussi est excellent.|
8.3; Très bien ; Rien| L’emplacement, l’accueil et les équipements.|

8.0;Très bonne prestations !; Rien en particulier| Tout était bien le personnel les chambres le calme...|
9.0;Hôtel à recommander; Pas de deuxième verre ni chaise dans une chambre réservée pour 2 adultes Salle de fitness avec des appareils non branchés impossibles à régler...| L accueil  La gentillesse du personnel Le professionalisme Les repas de qualité|
8.0; Très bien ; La climatisation au niveau des chambres est difficile à régler (peu d'options et boitier éloigné de la zone de repos).  Le service au niveau de la piscine est lent.| L'hotel est bien placé, prés de l'aéroport, ce qui est pratique pour les départs tot le matin. Le personnel est charmant et a répondu à mes messages avant mon arrivée concernant la navette et le contact au cas ou il y aurait des retards à l'arrivée. Le petit déjeuner buffet est très bien achalandé et le déjeuner buffet est savoureux. La literie est confortable et la connexion Internet est bonne.|
8.0; Très bien ; Le personnel très disponible et serviable|
7.0;Confortable; la connection internet est instable , la qualite devrait etre ameliore| le petit dejeuner etait vraiment super , varie de bonne qualite et avec un personnel disponible .  les mesures barrieres COVID-19 etaient appliquees|
9.0; Fabuleux  ; Le début du ménage à 8h. | La chambre, la salle de sport, le petit déjeuner , le restaurant. |
7.0;bon sejour, jy reviendrai; le repas buffet du soir ...|
8.0;Excellent séjour ; La salle de sport avec matériels défectueux (pas de tapis de course en réparation m’a-t-on dit), vélo bloqué sur une faible vitesse etc...| La gentillesse du personnel, la propreté, l’emplacement, le bar extérieur, le petit déjeuner complet avec beaucoup de fruits frais notamment. Et chambre bien aménagée. |
9.0; Fabuleux  ; Certains réceptionnistes, visages fermés, pas souriants, presque désagréables à la limite.  Service très lent à l’accueil pour l’enregistrement et les départs.  Un remboursement effectué sans explication, et je me retrouve avec moins d’argent que ce qui été mentionné sur ma facture sans explications. | Tout sauf le personnel|
8.0;Hôtel correct pour nous qui étions de passage au Cameroun.; -Petit déjeuner un peu pauvre mais reste correct et en harmonie avec le prix de la chambre  étant donné qu'il était inclus. -Pas assez de serviettes et nous avons demandé mais nous n'avons pas eu de retour - Il manquait un petit frigo dans les chambres| La déco originale. L' accueil de la réceptionniste  La proximité par rapport à l'aéroport  La propreté des lieux|
8.0; Très bien ; Le buffet (sauf le petit déjeuner) n'est pas assez complet. Et l'eau de la douche déborde vite | L'accueil |
7.0;Bien dans l’ensemble; L’espace très réduit dans les chambres| Design|
8.0; Très bien ; Chambre pour deux personnes mais jeu de serviettes pour une seule, idem une seule tasse un seul verre!!!! C est dommage!!| Le buffet La literie,  la navette aéroport La propreté L accueil La réactivité |
9.0;Je recommande ; L’accès au parking est étroit et difficile d’accès pour des suv.... | Le cadre est reposant et à proximité de toutes commodités. Le personnel est agréable et à l’écoute. |
8.0; Très bien ; Rien | Il est neuf|
8.0;Agréable; À 9h le petit déjeuner était presque fini Le WC n'a pas de robinet le papier hygiénique n'étant pas suffisant pour être très à l'aise| La qualité du lit|
8.0; Très bien ; Séjour toujours agréable et personnel à l'écoute des clients.|
8.0; Très bien ; la chambre est petit | le personnel était très accueillant et gentil |
7.0; Bien  ; Les toilettes n'avaient pas été bien nettoyé Ya pas d'essuie pied ou de serpillière le client fini par mouillé le sol de sa chambre.  De plus les toilettes sont petites , l'eau dégouline dans la chambre | Le menu petit déjeuner est varié Les équipements sont adéquats  La sécurité est de rigueur|
7.9; Bien  ; Pas de produits suffisant( shampooing, gel de douche,... ) | Propreté des espaces Personnel avenant Bon emplacement Connexion internet rapide Buffet petit-déjeuner complet |
9.0; Fabuleux  ; Le tapis de la salle de sport n'est toujours pas réparé... Elle fait très vide et c'est dommage car on ne peut pas aller courir dehors vu la proximité avec le port et la pollution... | Le personnel et la propreté impeccable ! |
9.0; Fabuleux  ; Très belle chambre et restaurant bien agencé |
7.0; Bien  ; l'eau qui remonte apres le bain difficile a s'evacué| le buffet|
8.0;c'était cool! je recommande cet hôtel à tous ceux qui sont de passage à douala; qu'il n' y ait pas de sèche-cheveux dans la chambre| le petit déjeuner est varié et j'ai surtout aimé l'emplacement de l'hôtel.|

8.0; Très bien ; L accueil et le service restauration n était pas à  la hauteur de l hôtel, attente d'une heure pour trois commandes, nous étions les seuls, la carte  inutile car peu de disponibilités en produits, et trop d 'indifférence des serveuses je dis bien ...es car les serveurs étaient un peu plus attentifs  quant à notre attente et notre présence, Très décevant pour la qualité de l Hôtel. Concernant la climatisation comme elle n est pas centralisée, le réglage un peu complexe et le bruit dérangeant or elle est obligatoire vu la bonne isolation....il fait tout de meme très chaud a Douala..'et les moustiques ces facteurs empêchent de rester les fenêtres ouvertes et obligent à l'utilisation forcée de la climatisation.| L'emplacement, la propreté et les équipements, le calme, la literie, la décoration.|
8.8; Très bien ; la liiterie un peu dure| le restaurant l acceuil et la gentilesse  du personnel|
9.2;Calme et confortable.; Restauration à améliorer (petit dej) . Matelas du lit un peu dur. Signal du wifi à amplifier dans les chambres. Meilleur indication de la situation géographique de l'hôtel.| Chambre spacieuse et confortable. Rapport qualité/prix. Equipements dignes d'un véritable grand hôtel. Boissons chaudes dans les chambres.|
6.7; Agréable ; Perso j'ai trouvé la brasserie un peu coincée et pas conviviale. | La propriété des chambres |
9.2;Parfait; La connexion internet faible| Le calme et la quiétude de l'environnement. La convivialité du personnel|
8.8;Confortable; Eau douche| La propreté des lieux|
8.5; Très bien ; le  seul point  negatif  et la  distance  a parcourir  avant  de pouvoir  trouver  un  taxi.  un  conseil  la  navette  doit etre disponible  a  tout  moment . on a l impression que  nouis  dérangeons  quand on demande une  navette et  ca  c est  un vrai probleme .les  gens préfèrent payer plus et avoir  la  liberte de  se deplacer.| tout  sauf  l eloignement.|
8.8; Très bien ; Emplacement géographique un peu en retrait | la gentillesse du personnel . La qualité des services . La prestation de la chambre . le repas  et petit déjeuner copieux|
7.1; Bien  ; Internet dans ma chambre au premier étage ne fonctionnait pas. |
9.2; Fabuleux  ; Un peu loin du centre de la ville et loin des moyens de transports | Petit déjeuner, confort et propreté |
6.7;Bon excepté le lit qui ne nous a permis de nous reposer longtemps; Le lit beaucoup trop ferme| Les chambres sont bien aménagées , ainsi que l'hôtel qui est plutôt  agréable|
8.8; Très bien ; Les draps avaient une odeur de moisi | L’accueil du personnel, la propreté de l’hôtel et surtout le Confort des chambres ! |
8.8;Bon hôtel ; Location un peu isolé | Établissement très propre et neuf, digne d’un hôtel 3 étoiles, de loin le meilleur hôtel que j’ai eu séjourner à Douala, personnel très aimable et souriant |
6.7;Bien; La froideur de la réceptionniste le matin.Pas très accueillante| J'ai été satisfait du petit déjeuner,cependant on m'a facturě le petit déjeuner de ma partenaire alors qu'au moment de la réservation, il était bien précisé que le petit déjeuner était offert.J'ai appellé l'hôtel avant mon arrivée pour être sûr qu'il était bien gratuit et on me l'a confirmé.J'ai payé 9500francs cfa de plus(14€61)pour le 2ième petit déjeuner,ce qui est énorme.Le matin en allant payer,quand la réceptionniste m'a annoncé cette facture,je lui ai expliqué en lui montrant la réservation booking prouvant que le petit déjeuner était gratuit,mais elle m'a dit que c'était comme ça.Pourquoi l'hôtel ne me l'a précisé lors de ma réservation?ce n'est pas normal|
9.6; Fabuleux  ; L hôtel est très propre |
8.3;Mon séjour était très agréable. J'ai travaillé la tête libre et l'équipement y était ok. Bravo!!; Cependant, veuillez annoncer les bons prix tant pour les chambres que pour les repas. Mettez à jour la carte et annoncez la taxe de séjour dès la réservation. C'est assez désagréable de voir un prix mais devoir payer plus à la fin.| Les croissants étaient délicieux. La cuisine OK. les équipements au top! J'ai aimé le cadre, le personnel, particulièrement le personnel d'accueil|
8.8; Très bien ; Les fausses promesses. J'avais réservé sur Booking en ayant demandé que la navette de l'hôtel me transporte de l'aéroport à l’hôtel. J'ai bien eu la confirmation mais grande a été ma surprise, à mon arrivée, de constater que personne ne m'attendait ni qu'un taxi ne m'a été envoyé. J'ai du payer le taxi pour me rendre à l'hôtel. Arrivé sur place, aucun geste commercial n'a été fait ni même un mot d'excuse. J'ai du attendre 3 heures de temps après mon arrivée pour rencontrer une responsable qui a pu me comprendre mais seulement me dire et redire "Désolé". Je trouve cela vraiment navrant et pas très commercial.|
9.2; Fabuleux  ; L'accès est un peu difficile| Tous les équipements |
8.8; Très bien ; L'hôtel est éloigné de la ville | J'ai aimé l'accueil |
1.0;A éviter; En période de corona virus il n'y avait pas d'eau !!!! Alors que je devais me laver les mains regulierement. Le soir l'eau est enfin arrivé Le matin à 7h00 à nouveau plus d'eau j'ai du prendre mon avion de rapatriement sans pouvoir me laver et faire ma toilette Et aucune réduction pour le désagrément même pas offert une boisson pour la route Emplacement de l'hôtel nul et inaccessible sans taxi| La navette gratuite pour l'aéroport|
6.0; Agréable ; A la fin du séjour,il nous à été reproché d'avoir volé une serviette de bain!! Inutile de vous dire que je n'ai pas du tout apprécié!! Je ne reviendrai plus dans cet établissement!!| La literie et l'espace dans les chambres|
10; Exceptionnel ; J'ai aimé la chambre très spacieuse un très grand lit une grande salle de bain avec une eau chaude rapide le personnel au petit du client et toujours souriant accueil chaleureux la navette est venue me chercher à l l'aeroport comme convenu  cet parfait continuez comme ça bravos |
10; Exceptionnel ; Hôtel neuf Propreté impeccable  Chambre douillette très confortable Personnel très accueillant et aux petits soins Chapeau!|
10;Toujours parfait !; Une petite odeur qui dérange un peu de la douche. Un petit soucis peut-être avec la fosse sceptique 🤷🏽‍♀️| Le personnel est accueillant et serviable.  L’hôtel est vraiment beau. J’aime le design. Le repas également est excellent.|

7.0;Bel emplacement, confortable et calme avec un petit déjeuner excellent.; La chambre standard est de très loin moins confortable que la chambre de luxe. J'ai vu quelques cafards.| Super bon petit déjeuner. Un mélange de culture servi sur un buffet, j'adore. J'ai beaucoup aimé les beignets aux haricots.|
8.0;Confortable; Pas de miroir près du lit.  La baignoire est fragile. L’ascenseur n’est pas propre L’accueil peut être amélioré| Chambre spacieuse. Lit confortable|
9.0; Fabuleux  ; Un buffet petit déjeuner plus varié serait ideal. Les prix du restaurant sont à revoir. Service en chambre facturé.| Tout etait absolument correct. Personnel acceuillant et disponible.|
8.0;Séjour agréable, avec de petites parges de progrès ; - manque de produits de toilette et accueil peu aimable du réceptionniste de nuit: A notre arrivée tard le soir, nous avons dû demander du shampoing et une autre serviette, car il n'y avait qu'une seule grande serviette et une petite pour le visage, du gel douche et du savon. Le réceptionniste nous a répondu (sèchement) "non" pour le shampoing, sans expliquer pourquoi ce n'était pas possible d'avoir du shampoing  et il nous a fait monter du papier toilette (!)... nous avons finalement réussi à obtenir une deuxième serviette le lendemain, grâce à la jeune femme qui assure la réception de jour et qui est beaucoup plus aimable et souriante. Je trouve inadmissible qu un hôtel 3 étoiles ne dispose pas de shampoing. -salle de bains: dans notre chambre (404), le tuyau de douche fuyait et l'on met de l'eau partout. La baignoire semble mal fixée au sol et elle est très souple (plastique?) donc on a l'impression que l'on peut passer à travers lorsque l'on marche dedans. On s'habitue le deuxième soir. -  restaurant: alors que nous n'avions pris que les petits-déjeuners, on nous a facturé par erreur le dîner d'un autre client et nous avons perdu 15 minutes à la réception pour régler le problème. La réceptionniste a cependant été très courtoise et a bien géré la situation.  - l'hôtel est situé dans un quartier calme mais on entend les voitures passer et klaxonner dès le matin et la porte de la chambre n'est pas insonorisée. Prévoir des boules quiès si vous êtes sensibles au bruit. - le parking souterrain est pratique mais petit (5places) et très étroit, il ne faut pas avoir une grosse voiture. Le parking devant l'hôtel est très vite plein.| -la gentillesse et le sourire des deux femmes réceptionnistes - la déco, la grande taille et le confort de la chambre, très bien. Les photos sur booking correspondent fidèlement à ce que sont les chambres, et je trouve même qu'elles sont mieux en réalité. Le lit est grand et confortable.  - l'emplacement de l'hôtel, dans un quartier calme mais proche des commerces et restaurants de Bonapriso. - le restaurant, avec une chouette décoration. Le petit-déjeuner est plutôt bon et avec un choix relativement varié. C'est mieux que ce que nous avons pu voir dans d'autres hôtels au Cameroun.  -l'eau de la douche qui est chaude immédiatement, avec une bonne pression et sans coupures (ce n'est pas toujours le cas au Cameroun) Au final, un séjour agréable et nous pourrions revenir dans cet hôtel (en espérant trouver du shampoing la prochaine fois).|
8.0;Agréable; Le personnel est aimable|
8.0;Tres bon sejour; Rien| Tres bien|
8.0; Très bien ; La qualité du réseau wifi et l'absence de navette| La propreté du site|
8.0;Un bon coin tranquille ; L'emplacement et le personnel. Coup de chapeau aux vigils. |
8.0;Très bon séjour ; nous reviendrons. Tout était bien| L'emplacement, le cadre, l'accueil et la convivialité du personnel, les prestations offertes cadraient parfaitement avec l'offre de services annoncé. La chambre était conforme aux images consultées. |
8.0;Joli coin que je découvre ; La façade extérieur à l’entrée de l’hôtel ne donne pas envie d’y résider. Ni été le vigil qui m’a convaincu de visiter d’abord l’intérieur avant de décider de rester ou non, je serai parti chercher un autre hôtel car de l’extérieur je l’ai trouvé vieux et sûrement inconfortable. | Le disign des chambres et la propreté. Le confort aussi. Bref le rapport qualité/prix |
8.0;Agréable et calme!; Le lavabo semblait vétuste et demandait être remplacé.| Les dimensions de la chambre. Elle était spacieuse et aérée. Le décor était certes minimaliste mais beau.|
8.0; Très bien ; La déco |
8.0; Très bien ; Rien| Tout |
8.0;Paisible; Pas de piscine , pas de chambre fumeur| Le confort du lit|
8.0;ja n'en attendais pas tant; rien| l'agencement de la chambre|
8.0; Très bien ; le per sonnel da'cceuil change tout le temps. Du coup si tu avais déjà émis une requête , tu es obligé de te répéter plusieurs fois.| je n'ai pas été avisée que j'avais droit à un petit déjeuner le matin.|
8.8; Très bien ; Par contre soit mettre une grande bouteille d eau, la petite bouteille est insuffisante, rajouté des boissons dans le réfrigérateur et une bouilloire pour le thé serait bien| Un lit tres confortable|
7.5; Bien  ; La restauration à revoir le petit déjeuner médiocre problème avec la préparation des plats |
9.2;Bon séjour dans l'ensemble; La climatisation n'est pas très bonne.| Le lit est confortable et le personnel très attentif. Le service de chambre est très bien organisé.|
8.3;Sympa; Si| Super|
9.2; Fabuleux  ; Petit-déjeuner trop simpliste| Propreté, emplacement,  personnel, taille de la chambre|
8.3;Pas mal; Les rideaux pas assez lourds pour empêcher les rayons de soleil| La décoration|
